task,model,dataset,n_seeds,n_points_per_cluster,proj,clustering,cluster distance,representative,k,pool size,recall,map
txt2img,clip,coco,2,10,tsne (pca),agglomerative,5,medoid,10,1000,0.96,0.45
txt2img,clip,coco,3,10,tsne (pca),agglomerative,5,medoid,10,1000,0.32,0.15
txt2img,clip,coco,5,10,tsne (pca),agglomerative,5,medoid,10,1000,0.84,0.57
txt2img,clip,coco,10,10,tsne (pca),agglomerative,5,medoid,10,1000,0.64,0.31
txt2img,clip,coco,2,20,tsne (pca),agglomerative,5,medoid,10,1000,0.84,0.57
txt2img,clip,coco,3,20,tsne (pca),agglomerative,5,medoid,10,1000,0.8,0.49
txt2img,clip,coco,5,20,tsne (pca),agglomerative,5,medoid,10,1000,0.88,0.63
txt2img,clip,coco,10,20,tsne (pca),agglomerative,5,medoid,10,1000,0.6,0.26
txt2img,clip,coco,2,30,tsne (pca),agglomerative,5,medoid,10,1000,0.88,0.51
txt2img,clip,coco,3,30,tsne (pca),agglomerative,5,medoid,10,1000,0.92,0.61
txt2img,clip,coco,5,30,tsne (pca),agglomerative,5,medoid,10,1000,0.92,0.45
txt2img,clip,coco,10,30,tsne (pca),agglomerative,5,medoid,10,1000,0.8,0.46
txt2img,clip,coco,2,5,tsne (pca),agglomerative,15,centroid,10,1000,0.88,0.5
txt2img,clip,coco,3,5,tsne (pca),agglomerative,15,centroid,10,1000,0.96,0.49
txt2img,clip,coco,5,5,tsne (pca),agglomerative,15,centroid,10,1000,0.96,0.47
txt2img,clip,coco,10,5,tsne (pca),agglomerative,15,centroid,10,1000,0.04,0.01
txt2img,clip,coco,2,10,tsne (pca),agglomerative,15,centroid,10,1000,0.96,0.49
txt2img,clip,coco,3,10,tsne (pca),agglomerative,15,centroid,10,1000,0.56,0.27
txt2img,clip,coco,5,10,tsne (pca),agglomerative,15,centroid,10,1000,0.12,0.02
txt2img,clip,coco,10,10,tsne (pca),agglomerative,15,centroid,10,1000,0.48,0.34
txt2img,clip,coco,2,20,tsne (pca),agglomerative,15,centroid,10,1000,0.52,0.32
txt2img,clip,coco,3,20,tsne (pca),agglomerative,15,centroid,10,1000,0.84,0.57
txt2img,clip,coco,5,20,tsne (pca),agglomerative,15,centroid,10,1000,0.84,0.46
txt2img,clip,coco,10,20,tsne (pca),agglomerative,15,centroid,10,1000,0.72,0.54
txt2img,clip,coco,2,30,tsne (pca),agglomerative,15,centroid,10,1000,0.92,0.53
txt2img,clip,coco,3,30,tsne (pca),agglomerative,15,centroid,10,1000,0.92,0.62
